turtle	eggnog
FAM168A	FAM168A
PLEKHB1	PLEKHB1
MRPL48	MRPL48
PAAF1	PAAF1
DNAJB13	DNAJB13
UCP2	UCP2
UCP3	UCP3
C2CD3	C2CD3
PPME1	PPME1
P4HA3	P4HA3
SPCS2	SPCS2
XRRA1	XRRA1
RNF169	RNF169
SYT1	SYT1
PAWR	PAWR
PPP1R12A	PPP1R12A
RPS16	RPS16
OTOGL	OTOGL
PTPRQ	PTPRQ
MYF6	MYF6
MYF5	MYF5
LIN7A	LIN7A
ACSS3	ACSS3
PPFIA2	PPFIA2
METTL25	METTL25
TMTC2	TMTC2
SLC6A15	SLC6A15
TSPAN19	TSPAN19
LRRIQ1	LRRIQ1
ALX1	ALX1
NTS	NTS
MGAT4C	MGAT4C
C1H14orf80	C14ORF80
CRIP1	CRIP1
CRIP2	CRIP2
MTA1	MTA1
PACS2	PACS2
C1H12orf50	C12ORF50
C1H12orf29	C12ORF29
CEP290	CEP290
TMTC3	TMTC3
KITLG	KITLG
DUSP6	DUSP6
POC1B	POC1B
ATP2B1	ATP2B1
EPYC	EPYC
KERA	KERA
LUM	LUM
DCN	DCN
BTG1	BTG1
CASR	CASR
MAN1A2	MAN1A2
HAO2	HAO2
WARS2	WARS2
TBX15	TBX15
SPAG17	SPAG17
WDR3	WDR3
GDAP2	GDAP2
FAM46C	FAM46C
DUSP12	DUSP12
ATP6V1A	ATP6V1A
NAA50	NAA50
KIAA2018	KIAA2018
SIDT1	SIDT1
SPICE1	SPICE1
TRIM45	TRIM45
VTCN1	VTCN1
CTC1	CTC1
TNFRSF1A	TNFRSF1A
METTL16	METTL16
POLQ	POLQ
STXBP5L	STXBP5L
GTF2E1	GTF2E1
RABL3	RABL3
HGD	HGD
NDUFB4	NDUFB4
FSTL1	FSTL1
LRRC58	LRRC58
GPR156	GPR156
GSK3B	GSK3B
MAATS1	MAATS1
POPDC2	POPDC2
PLA1A	PLA1A
CD58	CD58
MAB21L3	MAB21L3
SLC22A15	SLC22A15
NHLH2	NHLH2
CASQ2	CASQ2
VANGL1	VANGL1
CHD1L	CHD1L
TMEM39A	TMEM39A
B4GALT4	B4GALT4
