mouse	eggnog
Gnai3	GNAI3
Pbsn	PBSN
Hoxb9	HOXB9
Cdc45	CDC45
Igf2	IGF2
Apoh	APOH
Cav2	CAV2
Klf6	KLF6
Scmh1	SCMH1
Cox5a	COX5A
Dlgap4	DLGAP4
Tbx2	TBX2
Tbx4	TBX4
Cntn1	CNTN1
Ngfr	NGFR
Wnt3	WNT3
Wnt9a	WNT9A
Fer	FER
Acsl6	ACSL6
Gna12	GNA12
Igsf5	IGSF5
Pih1d2	PIH1D2
Sdhd	SDHD
Fgf23	FGF23
Fgf6	FGF6
Ccnd2	CCND2
Ccl2	CCL2
Ncs1	NCS1
Nalcn	NALCN
Btbd17	BTBD17
Th	TH
Ins2	INS2
Scnn1g	SCNN1G
Lhx2	LHX2
Gmpr	GMPR
Glra3	GLRA3
Trim25	TRIM25
Dgke	DGKE
Scpep1	SCPEP1
Mnt	MNT
Itgb2	ITGB2
Hddc2	HDDC2
Tpd52l1	TPD52L1
Pemt	PEMT
Cdh1	CDH1
Cdh4	CDH4
Ckmt1	CKMT1B
Bcl6b	BCL6B
Clec10a	CLEC10A
Alox12	ALOX12
Comt	COMT
Ccl11	CCL11
Rtca	RTCA
Dbt	DBT
Dazap2	DAZAP2
Mcts1	MCTS1
Rem1	REM1
Trappc10	TRAPPC10
Ccm2	CCM2
Tbrg4	TBRG4
Tmprss2	TMPRSS2
Fap	FAP
Egfl6	EGFL6
Tssk3	TSSK3
Galnt1	GALNT1
Myf5	MYF5
Mkrn2	MKRN2
Pparg	PPARG
Raf1	RAF1
Plin2	PLIN2
Pdgfra	PDGFRA
Pdgfb	PDGFB
Mcm7	MCM7
Serpinb8	SERPINB8
Acvrl1	ACVRL1
Grasp	GRASP
Acvr1b	ACVR1B
Ovgp1	OVGP1
Sox9	SOX9
Rdx	RDX
C1d	C1D
Gm2a	GM2A
Grm6	GRM6
Sema4f	SEMA4F
Hk2	HK2
Myo18a	MYO18A
Sez6	SEZ6
St7	ST7
Haao	HAAO
Hoxb6	HOXB6
Loxl3	LOXL3
Kat2b	KAT2B
Rab5b	RAB5B
Dnmt3l	DNMT3L
Sult5a1	SULT5A1
Rpl13	RPL13
Chmp1a	CHMP1A
Rpa1	RPA1
Serpinf1	SERPINF1
Tubgcp3	TUBGCP3
Oprm1	OPRM1
Polr3d	POLR3D
Il12rb1	IL12RB1
Slc5a5	SLC5A5
Kcnn3	KCNN3
Usp32	USP32
Txnrd3	TXNRD3
Fasl	FASLG
Tpd52l2	TPD52L2
Bcl11a	BCL11A
Il4	IL4
E2f1	E2F1
Necab3	NECAB3
Pxmp4	PXMP4
Dlg3	DLG3
Gnb1l	GNB1L
Dbh	DBH
Mmp11	MMP11
Smarcb1	SMARCB1
Vpreb3	VPREB3
Hip1r	HIP1R
Nsun5	NSUN5
Top1mt	TOP1MT
Hoxa1	HOXA1
Slc7a7	SLC7A7
Oxa1l	OXA1L
Heatr6	HEATR6
Ccl3	CCL3
Icam4	ICAM4
Ilf2	ILF2
Chtop	CHTOP
S100a4	S100A4
S100a5	S100A5
S100a6	S100A6
Icam2	ICAM2
Ern1	ERN1
Epn2	EPN2
Sec24b	SEC24B
N4bp3	N4BP3
Rmnd5b	RMND5B
Zfp276	ZNF276
Add1	ADD1
Mfsd10	MFSD10
Grk4	GRK4
Grk6	GRK6
Luzp1	LUZP1
Slc13a2	SLC13A2
Kctd10	KCTD10
Slc46a1	SLC46A1
Poldip2	POLDIP2
Sebox	SEBOX
Pcbp3	PCBP3
Araf	ARAF
Cfp	CFP
Cnnm3	CNNM3
Pcnt	PCNT
Ftcd	FTCD
Mxd1	MXD1
Gmcl1	GMCL1
Snrnp27	SNRNP27
Anxa4	ANXA4
Ocrl	OCRL
Agpat3	AGPAT3
D10Jhu81e	D10JHU81E
Rnf32	RNF32
Slc26a4	SLC26A4
Slc26a3	SLC26A3
Sema6b	SEMA6B
Uhrf1	UHRF1
Lsr	LSR
Gramd1a	GRAMD1A
Usf1	USF1
Ckb	CKB
Efnb2	EFNB2
Sp1	SP1
Itgb7	ITGB7
Myg1	C12ORF10
Pfdn5	PFDN5
Rrp15	RRP15
Rnd2	RND2
Cnn1	CNN1
