pleurodeles	eggnog
LGI3	LGI3
ENTPD7	ENTPD7
KIAA1644	KIAA1644
PI4KB	PI4KB
NUAK2	NUAK2
CYLD	CYLD
WDR59	WDR59
PPP2R5C	PPP2R5C
C17orf59	C17orf59
TRHDE	TRHDE
BCL11B	BCL11B
ZHX1	ZHX1
SAP30L	SAP30L
NOV	NOV
GPR108	GPR108
RAB39B	RAB39B
PTRF	PTRF
CYFIP1	CYFIP1
VIPAS39	VIPAS39
GRIP1	GRIP1
SLC16A6	SLC16A6
SH3RF1	SH3RF1
ACCS	ACCS
ZBTB26	ZBTB26
STXBP1	STXBP1
MBNL2	MBNL2
STARD10	STARD10
NSD1	NSD1
CTSC	CTSC
MR1	MR1
ZNF76	ZNF76
SYBU	SYBU
ELFN1	ELFN1
SCAF4	SCAF4
SULF2	SULF2
METTL5	METTL5
ATP8B3	ATP8B3
TMEM87A	TMEM87A
WDR33	WDR33
MLLT6	MLLT6
SNX4	SNX4
ITFG3	ITFG3
SBK1	SBK1
BMS1	BMS1
LRRC4B	LRRC4B
SEMA4F	SEMA4F
SYAP1	SYAP1
HDLBP	HDLBP
DNAJC14	DNAJC14
CSK	CSK
KPNA3	KPNA3
TP53I11	TP53I11
GTPBP1	GTPBP1
TMEM269	TMEM269
HDAC4	HDAC4
TFCP2	TFCP2
SIDT2	SIDT2
RAP2A	RAP2A
KCTD18	KCTD18
UBR2	UBR2
ASH1L	ASH1L
ASB8	ASB8
IRF7	IRF7
GRM8	GRM8
PPFIA1	PPFIA1
PTPRD	PTPRD
USP10	USP10
DYRK1B	DYRK1B
UNC13C	UNC13C
ARRDC3	ARRDC3
RICTOR	RICTOR
TBC1D10A	TBC1D10A
NDRG4	NDRG4
UEVLD	UEVLD
SHC1	SHC1
DSTYK	DSTYK
KIAA2022	KIAA2022
PNP	PNP
F2RL2	F2RL2
ATP1A1	ATP1A1
TBCD	TBCD
SYT6	SYT6
MTUS1	MTUS1
ZDHHC8	ZDHHC8
PCDH18	PCDH18
GADL1	GADL1
TGFB3	TGFB3
RBFOX1	RBFOX1
LINGO1	LINGO1
DCAF11	DCAF11
KPNB1	KPNB1
NFIB	NFIB
PUS1	PUS1
CHST15	CHST15
slc35c2	slc35c2
ZDHHC7	ZDHHC7
CTNND2	CTNND2
RANBP3	RANBP3
SOGA3	SOGA3
LSS	LSS
KLF4	KLF4
ZFAND4	ZFAND4
USP53	USP53
CHERP	CHERP
SLC35B4	SLC35B4
MAP4	MAP4
R3HDM4	R3HDM4
QKI	QKI
ZNF462	ZNF462
EPC2	EPC2
GIGYF1	GIGYF1
INPP5B	INPP5B
STRN4	STRN4
CADPS2	CADPS2
PCNT	PCNT
NCSTN	NCSTN
PRUNE2	PRUNE2
SLC25A42	SLC25A42
CPE	CPE
MAN1A1	MAN1A1
ETNK1	ETNK1
MIA3	MIA3
NBR1	NBR1
ACADSB	ACADSB
CYB5R3	CYB5R3
PSD	PSD
CEBPB	CEBPB
FKBP1A	FKBP1A
SMARCD1	SMARCD1
STXBP5	STXBP5
AK5	AK5
FOXRED2	FOXRED2
ZC2HC1A	ZC2HC1A
AQP4	AQP4
ZNFX1	ZNFX1
NUP50	NUP50
GANAB	GANAB
MBOAT7	MBOAT7
APBA2	APBA2
CASKIN2	CASKIN2
OSBPL10	OSBPL10
SNAP91	SNAP91
GPT	GPT
44263	8-Mar
MYRIP	MYRIP
SLITRK2	SLITRK2
TMEM132B	TMEM132B
ARHGAP4	ARHGAP4
TNFRSF1B	TNFRSF1B
CHKA	CHKA
ANK2	ANK2
GTF3C4	GTF3C4
C1QL1	C1QL1
AAMP	AAMP
SSTR5	SSTR5
MAD1L1	MAD1L1
CDH8	CDH8
PRR36	PRR36
JMY	JMY
NTSR1	NTSR1
CKAP5	CKAP5
HNRNPL	HNRNPL
GDI1	GDI1
EPRS	EPRS
PLP2	PLP2
Trhr2	Trhr2
ATP11A	ATP11A
CACNA1C	CACNA1C
RAB11FIP4	RAB11FIP4
FAM193A	FAM193A
ANAPC1	ANAPC1
FSTL1	FSTL1
MPZ	MPZ
SGPP1	SGPP1
MORC3	MORC3
WDR47	WDR47
IFT52	IFT52
TBCK	TBCK
LLGL1	LLGL1
KLHDC8B	KLHDC8B
OXR1	OXR1
HIRA	HIRA
PPFIA4	PPFIA4
CACNA2D1	CACNA2D1
UBXN10	UBXN10
WDTC1	WDTC1
PARD3	PARD3
PLOD3	PLOD3
SLC11A2	SLC11A2
GOLPH3L	GOLPH3L
MON1A	MON1A
INPP4A	INPP4A
MFSD6L	MFSD6L
PITPNA	PITPNA
M6PR	M6PR
HGNC:18790	HGNC:18790
EPN1	EPN1
UBR3	UBR3
CBFA2T3	CBFA2T3
NPTXR	NPTXR
ELAC2	ELAC2
MAP1B	MAP1B
PIK3R3	PIK3R3
CABP1	CABP1
LINGO2	LINGO2
KIAA1244	KIAA1244
ZNF608	ZNF608
SLC30A10	SLC30A10
OTUD6B	OTUD6B
DAAM1	DAAM1
EFCAB14	EFCAB14
GPR139	GPR139
GRPEL2	GRPEL2
FRY	FRY
EDIL3	EDIL3
SCN2A	SCN2A
FUS	FUS
TGFBR2	TGFBR2
PURB	PURB
SLC45A4	SLC45A4
ADAR	ADAR
KIF1A	KIF1A
GRM5	GRM5
KIAA0430	KIAA0430
KCTD3	KCTD3
CDK5R1	CDK5R1
PIK3R4	PIK3R4
UNC13A	UNC13A
CLCN7	CLCN7
IGSF3	IGSF3
SCHIP1	SCHIP1
ETV1	ETV1
PCDH7	PCDH7
GRIA4	GRIA4
LIMK1	LIMK1
SAMD4B	SAMD4B
PCDH20	PCDH20
ANKHD1	ANKHD1
DNMT1	DNMT1
MGAT1	MGAT1
KMT2C	KMT2C
TAOK3	TAOK3
UBXN7	UBXN7
AMFR	AMFR
SYT1	SYT1
SPECC1	SPECC1
GTF2IRD1	GTF2IRD1
TXLNA	TXLNA
HIP1	HIP1
ARID4A	ARID4A
GPM6A	GPM6A
CPSF3	CPSF3
ARHGAP6	ARHGAP6
ARRB1	ARRB1
NPAS1	NPAS1
PTPN11	PTPN11
RIN2	RIN2
MYO18A	MYO18A
BCL11A	BCL11A
LAMA1	LAMA1
SETD1A	SETD1A
EIF3A	EIF3A
TMEM72	TMEM72
ARHGEF37	ARHGEF37
CDH12	CDH12
PPP2R5E	PPP2R5E
MINK1	MINK1
FNBP1L	FNBP1L
GRIN2A	GRIN2A
ATRX	ATRX
OTOF	OTOF
GRM4	GRM4
LTBP3	LTBP3
PRPF38A	PRPF38A
ACTR2	ACTR2
MROH1	MROH1
SCARA3	SCARA3
LTBR	LTBR
CDH20	CDH20
KDM3B	KDM3B
MTMR10	MTMR10
SLC24A3	SLC24A3
TRIM24	TRIM24
CAND1	CAND1
SEMA6D	SEMA6D
SMUG1	SMUG1
ADCY6	ADCY6
TTC21A	TTC21A
NRCAM	NRCAM
PNISR	PNISR
MTSS1	MTSS1
DDA1	DDA1
BACH1	BACH1
BOD1L1	BOD1L1
GRIA2	GRIA2
VARS2	VARS2
C10orf54	C10orf54
SMARCA4	SMARCA4
ELMO1	ELMO1
DVL1	DVL1
MED24	MED24
AKAP11	AKAP11
PITPNM1	PITPNM1
SHISA9	SHISA9
UBE3A	UBE3A
GAPVD1	GAPVD1
TM9SF3	TM9SF3
BAHCC1	BAHCC1
SLC30A6	SLC30A6
SPON1	SPON1
FNIP2	FNIP2
RUSC2	RUSC2
MORC2	MORC2
EHMT1	EHMT1
SLC6A7	SLC6A7
CCNY	CCNY
RSF1	RSF1
EIF5B	EIF5B
WDR65	CFAP57
FEZF2	FEZF2
PELP1	PELP1
DYNC1H1	DYNC1H1
CDC73	CDC73
GLDC	GLDC
SLIT2	SLIT2
MPP1	MPP1
NINL	NINL
ZNRF3	ZNRF3
KCNC4	KCNC4
SEZ6L	SEZ6L
SEZ6	SEZ6
CRTC1	CRTC1
JPH3	JPH3
ARNT	ARNT
WWP1	WWP1
MAPKAPK3	MAPKAPK3
CLASP1	CLASP1
CRELD1	CRELD1
PHF20L1	PHF20L1
WDR13	WDR13
DDX54	DDX54
SNAPC4	SNAPC4
KIFC2	KIFC2
SLC1A3	SLC1A3
SOAT1	SOAT1
NIPSNAP3A	NIPSNAP3A
MAP7D2	MAP7D2
ACVR1B	ACVR1B
ARHGAP12	ARHGAP12
AFAP1	AFAP1
SLC4A8	SLC4A8
COL20A1	COL20A1
UHRF1BP1L	UHRF1BP1L
AP3M2	AP3M2
KIF5B	KIF5B
ENDOD1	ENDOD1
SEPN1	SEPN1
RNF19A	RNF19A
B3GAT2	B3GAT2
sec31a	sec31a
SPRED1	SPRED1
TXNL4B	TXNL4B
SLC9A3R1	SLC9A3R1
MARCO	MARCO
FBLN1	FBLN1
RBM12	RBM12
PUM1	PUM1
DESI2	DESI2
SKAP2	SKAP2
IBTK	IBTK
STK32C	STK32C
C8orf34	C8orf34
HOMEZ	HOMEZ
TM9SF2	TM9SF2
FAM171A2	FAM171A2
GATC	GATC
GRIK2	GRIK2
GPR137	GPR137
XRCC1	XRCC1
USP38	USP38
ADHFE1	ADHFE1
RALGDS	RALGDS
SNX13	SNX13
DPP3	DPP3
PPP1R13B	PPP1R13B
SYNDIG1	SYNDIG1
QRFPR	QRFPR
DLG4	DLG4
RBPJ	RBPJ
ALDOC	ALDOC
KIF13B	KIF13B
PLA2G6	PLA2G6
C9orf142	C9orf142
ATP6V0A2	ATP6V0A2
SLITRK4	SLITRK4
TMEM178A	TMEM178A
DCLK1	DCLK1
DDX3X	DDX3X
SEMA6C	SEMA6C
NTM	NTM
