lizard	eggnog
SST	SST
ND1	ND1
ND2	ND2
CO1	COX1
CO2	COX2
ATP6	ATP6
CO3	COX3
ND3	ND3
ND4	ND4
ND5	ND5
ND6	ND6
CYTB	CYTB
ECEL1	ECEL1
MSANTD2	MSANTD2
HORMAD2	HORMAD2
LIF	LIF
GATSL3	GATSL3
LSM5	LSM5
AVL9	AVL9
KBTBD2	KBTBD2
FKBP9	FKBP9
NT5C3	NT5C3
BBS9	BBS9
PFDN6	PFDN6
FBRSL1	FBRSL1
CHFR	CHFR
GOLGA3	GOLGA3
ANKLE2	ANKLE2
PGAM5	PGAM5
ZDHHC8	ZDHHC8
Q5ZJ38_CHICK	RANBP1
TRMT2A	TRMT2A
DGCR8	DGCR8
Q5ZI44_CHICK	C22ORF25
VSTM2A	VSTM2A
ULK4	ULK4
MCM3AP	MCM3AP
YBEY	YBEY
POFUT2	POFUT2
ADARB1	ADARB1
FAM207A	FAM207A
ITGB2	ITGB2
KMO	KMO
RP11-428C6.1.1	ARHGEF28
ENC1	ENC1
HEXB	HEXB
GFM2	GFM2
FAM169A	FAM169A
GCNT4	GCNT4
HMGCR	HMGCR
COL4A3BP	COL4A3BP
POLK	POLK
ANKDD1B	ANKDD1B
POC5	POC5
SV2C	SV2C
PIK3CG	PIK3CG
PRKAR2B	PRKAR2B
HBP1	HBP1
COG5	COG5
GPR22	GPR22
BCAP29	BCAP29
DUS4L	DUS4L
ELOVL4	ELOVL4
SH3BGRL2	SH3BGRL2
LCA5	LCA5
HMGN3	HMGN3
PHIP	PHIP
IRAK1BP1	IRAK1BP1
SI:CH211-241P10.1	MEI4
HTR1B	HTR1B
ARID3C	ARID3C
SIGMAR1	SIGMAR1
GALT	GALT
SEPT4	SEPT4
VPS37D	VPS37D
DNAJC30	DNAJC30
MLXIPL	MLXIPL
STX1A	STX1A
WBSCR22	WBSCR22
TBL2	TBL2
BCL7B	BCL7B
WBSCR27	WBSCR27
CLDN3	CLDN3
CLDN4	CLDN4
ABHD11	ABHD11
CASP1	CASP1
MTMR4	MTMR4
HSF5	HSF5
RNF43	RNF43
SUPT4H1	SUPT4H1
EPX	MPO
LPO	LPO
FAM64A	FAM64A
TYW1	TYW1
MRPS17	MRPS17
GBAS	GBAS
PSPH	PSPH
TCPZ_CHICK	CCT6A
SUMF2	SUMF2
PHKG1	PHKG1
CHCHD2	CHCHD2
VKORC1L1	VKORC1L1
GUSB	GUSB
CRCP	CRCP
TPST1	TPST1
KCTD7_CHICK	KCTD7
RABGEF1	RABGEF1
TMEM132E	TMEM132E
F1P394_CHICK	LIG3
Q5ZI26_CHICK	RFFL
RAD51D	RAD51D
UNC45B	UNC45B
PEX12	PEX12
AP2B1	AP2B1
GAS2L2	GAS2L2
MAGI1	MAGI1
ADAMTS9	ADAMTS9
LRRC2	LRRC2
AAED1	AAED1
CDC14B	CDC14B
HABP4	HABP4
ZNF367	ZNF367
SLC35D2	SLC35D2
HSD17B3	HSD17B3
C9ORF102	ERCC6L2
PTCH1	PTCH1
FANCC	FANCC
FBXO15	FBXO15
TIMM21	TIMM21
CYB5_CHICK	CYB5A
C18ORF63	C18ORF63
FAM69C	FAM69C
CNDP2	CNDP2
CNDP1	CNDP1
ZNF407	ZNF407
ZADH2	ZADH2
TSHZ1	TSHZ1
MGAT1	MGAT1
ZNRD1	ZNRD1
UNC50	UNC50
MGAT4A	MGAT4A
C2ORF55	KIAA1211L
TSGA10	TSGA10
MITD1	MITD1
LIPT1	LIPT1
C2ORF15	MRPL30
TXNDC9	TXNDC9
EIF5B	EIF5B
REV1	REV1
AFF3	AFF3
LONRF2	LONRF2
CHST10	CHST10
PDCL3	PDCL3
NPAS2	NPAS2
RPL31	RPL31
TBC1D8	TBC1D8
C2ORF29	C2ORF29
RNF149	RNF149
CREG2	CREG2
ASMT	ASMT
ZNF544	ZFP35
FSIP2	FSIP2
NUDT7	NUDT7
CLEC3A	CLEC3A
NTAN1	NTAN1
PDXDC1	PDXDC1
SMURF1	SMURF1
KPNA7	KPNA7
MYH1	MYH16
ARPC1A	ARPC1A
ARPC1B	ARPC1B
PDAP1	PDAP1
BUD31	BUD31
PTCD1	PTCD1
CPSF4	CPSF4
KCNJ12	KCNJ12
MAP2K3	MAP2K3
GTL3B_CHICK	C17ORF103
TMEM11	TMEM11
DHRS7B	DHRS7B
F1NG36_CHICK	USP22
TNFRSF13B	TNFRSF13B
COX19	COX19
ADAP1	ADAP1
GET4	GET4
SUN1	SUN1
HEATR2	HEATR2
PRKG1	PRKG1
DKK1	DKK1
PCDH15	PCDH15
TWF2	TWF2
ALAS1	ALAS1
POC1A	POC1A
DUSP7	DUSP7
TNNC1	TNNC1
NISCH	NISCH
STAB1	STAB1
NT5DC2	NT5DC2
C3ORF78	SMIM4
PBRM1	PBRM1
GNL3	GNL3
GLT8D1	GLT8D1
SPCS1	SPCS1
NEK4	NEK4
ITIH4	ITIH4
TMEM110-MUSTN1	TMEM110
SFMBT1	SFMBT1
RFT1	RFT1
PRKCD	PRKCD
PFKFB4	PFKFB4
SHISA5	SHISA5
TREX1	TREX1
ATRIP	ATRIP
MUC6	MUC6
CPLX1	CPLX1
PCGF3	PCGF3
MFSD7	MFSD7
DGKQ	DGKQ
SLC26A1	SLC26A1
Q5F366_CHICK	IDUA
FAM129B	FAM129B
CACNA1B	CACNA1B
EHMT1	EHMT1
ARRDC1	ARRDC1
CADM4	CADM4
RPS19	RPS19
GBP1	GBP1
SHCBP1L	SHCBP1L
DHX9	DHX9
NPL	NPL
